end,avg_sentiment,buzz_count,SWOT_Strength,SWOT_Weakness,SWOT_Opportunity,SWOT_Threat
2021-03-31,0.2787819105691057,23,0.02032520325203252,0.014227642276422764,0.08333333333333333,0.026422764227642278
2021-03-31,0.3276764485981309,91,0.028037383177570093,0.018691588785046728,0.07102803738317758,0.011214953271028037
2021-06-30,0.36282425,90,0.0325,0.0325,0.075,0.0
2021-06-30,0.2836924603174603,21,0.027777777777777776,0.00992063492063492,0.11904761904761904,0.015873015873015872
2021-09-30,0.3402044585987261,62,0.040339702760084924,0.014861995753715499,0.06581740976645435,0.006369426751592357
2021-09-30,0.2710137420718816,15,0.046511627906976744,0.012684989429175475,0.10782241014799154,0.02536997885835095
2021-12-31,0.31739410480349345,58,0.021834061135371178,0.013100436681222707,0.06331877729257641,0.017467248908296942
2021-12-31,0.30105502742230345,10,0.03656307129798903,0.014625228519195612,0.09506398537477148,0.018281535648994516
2022-03-31,0.344990221402214,74,0.023985239852398525,0.00922509225092251,0.09778597785977859,0.014760147601476014
2022-03-31,0.28507064393939396,12,0.01893939393939394,0.011363636363636364,0.07196969696969698,0.011363636363636364
2022-06-30,0.3472227176220807,91,0.027600849256900213,0.012738853503184714,0.08492569002123142,0.014861995753715499
2022-06-30,0.2762726053639847,6,0.04789272030651341,0.0038314176245210726,0.05747126436781609,0.013409961685823755
2022-09-30,0.3303310344827586,67,0.02528735632183908,0.022988505747126436,0.10114942528735632,0.011494252873563218
2022-09-30,0.2436426,14,0.036,0.008,0.086,0.02
2022-12-31,0.332751593625498,62,0.029880478087649404,0.013944223107569721,0.09163346613545817,0.00398406374501992
2022-12-31,0.3253516791044776,12,0.033582089552238806,0.014925373134328358,0.12686567164179105,0.014925373134328358
2023-03-31,0.3198183467741935,16,0.04233870967741935,0.02217741935483871,0.0846774193548387,0.012096774193548387
2023-03-31,0.36237366548042704,85,0.028469750889679714,0.021352313167259787,0.10498220640569395,0.008896797153024912
2023-06-30,0.3068754060324826,11,0.04408352668213457,0.03480278422273782,0.09280742459396751,0.03944315545243619
2023-06-30,0.3460560794044665,56,0.02977667493796526,0.019851116625310174,0.10421836228287841,0.017369727047146403
2023-09-30,0.2837801886792453,24,0.04905660377358491,0.024528301886792454,0.12075471698113208,0.07169811320754717
2023-09-30,0.3569364928909952,68,0.06872037914691943,0.02843601895734597,0.10426540284360189,0.009478672985781991
2023-12-31,0.27219227799227796,17,0.06177606177606178,0.0444015444015444,0.059845559845559844,0.05019305019305019
2023-12-31,0.324970808678501,71,0.03155818540433925,0.013806706114398421,0.08284023668639054,0.023668639053254437
2024-03-31,0.24976137667304016,34,0.06883365200764818,0.022944550669216062,0.04780114722753346,0.05927342256214149
2024-03-31,0.3026333907056799,51,0.027538726333907058,0.024096385542168676,0.058519793459552494,0.008605851979345954
2024-06-30,0.2895022088353414,45,0.03614457831325301,0.018072289156626505,0.05421686746987952,0.012048192771084338
2024-06-30,0.2769785046728972,22,0.0514018691588785,0.04906542056074766,0.07242990654205607,0.05841121495327103
2024-09-30,0.32584500000000005,25,0.07857142857142857,0.07380952380952381,0.07857142857142857,0.05714285714285714
2024-09-30,0.30552384615384615,82,0.04423076923076923,0.025,0.08076923076923077,0.03076923076923077
2024-12-31,0.30605036900369004,42,0.046125461254612546,0.016605166051660517,0.06642066420664207,0.0018450184501845018
